code,name,color,sizes,price,qty,available,cat,image
,Ascended Heroes ETB,,,$100,75,TRUE,new,https://i.imgur.com/sxciDCx.png
,Ascended Heroes 2Pk Blister 12Ct,,,$250,35,TRUE,new,https://i.imgur.com/BUK5g1T.png
,Ascended Heroes First Partners Deluxe Pin Collection,,,$45,170,TRUE,new,https://i.imgur.com/M4VDdA2.png
,Ascended Heroes Mini Tin Display 10ct,,,$225,5,TRUE,new,https://i.imgur.com/yAyJ91X.jpeg
,Ascended Heroes Mini Tin Display 10ct,,,$225,5,TRUE,pokemon,https://i.imgur.com/yAyJ91X.jpeg
,Phantasmal Flames ETB,,,$80,96,TRUE,new,https://www.pokemon.com/static-assets/content-assets/cms2/img/trading-card-game/series/incrementals/2025/me02-elite-trainer-box/me02-elite-trainer-box-169-en.png
,Ascended Heroes ETB,,,$100,75,TRUE,pokemon,https://i.imgur.com/sxciDCx.png
,Ascended Heroes 2Pk Blister 12Ct,,,$250,35,TRUE,pokemon,https://i.imgur.com/BUK5g1T.png
,Ascended Heroes First Partners Deluxe Pin Collection,,,$45,170,TRUE,pokemon,https://i.imgur.com/M4VDdA2.png
,Phantasmal Flames ETB,,,$80,96,TRUE,pokemon,https://www.pokemon.com/static-assets/content-assets/cms2/img/trading-card-game/series/incrementals/2025/me02-elite-trainer-box/me02-elite-trainer-box-169-en.png
,2025 Panini PRIZM DSG Exclusive WNBA Blaster Box Sealed Case,,,$1350,2,TRUE,new,"https://dks.scene7.com/is/image/GolfGalaxy/25PAAUWNB25PRZMDSXFL?wid=2000&hei=2000&fit=constrain&fmt=pjpeg"
,2025 Panini PRIZM DSG Exclusive WNBA Blaster Box Sealed Case,,,$1350,2,TRUE,basketball,"https://dks.scene7.com/is/image/GolfGalaxy/25PAAUWNB25PRZMDSXFL?wid=2000&hei=2000&fit=constrain&fmt=pjpeg"
,2025 Panini Donruss Optic NFL Blaster,,,$45,25,TRUE,new,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/dcc00e32-7d22-4521-b10a-87c96f512e7f.png
,2025 Panini Donruss Optic NFL Blaster,,,$45,25,TRUE,football,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/dcc00e32-7d22-4521-b10a-87c96f512e7f.png
